Company Name,Target Status,Status (proposed),Public Website Homepage URL,Source,Street Address,City,State,Zipcode,Phone,Industries served,Products and services offered,Square footage (facility),Number of employees,Estimated Revenues,Years of operation,Ownership,Equipment,CNC 3-axis,CNC 5-axis,Spares/ Repairs,Family business,2nd Address,Region,Medical,Notes (Approach/ Contacts/Info),AI Failed Criteria,AI Filter Flag
MSI Mold Builders,CY,"High-end, private moldmaker",http://www.msimoldbuilders.com,AMBA,12300 6th St SW,Cedar Rapids,IA,52404,(556) 808-4694,"Automotive, Medical Equipment, Agriculture, Construction ; Automotive, Medical (News) ; plastics (News: 2017) ; Automotive, consumer goods, industrial (News) ; automotive, consumer goods (News: 2023) ; Automotive (News: 2015) ; automotive, consumer goods, medical (News: 2023)","Injection molds, New mold construction, Design services, Tooling revision, Repair and maintenance, Early supplier involvement, Injection, Structural foam, Gas assist, Blow, Structural web, CNC, Wire EDM, Injection Molding Tryout Presses ; PVPallet Series X (News: 2023) ; Precision molds (News) ; mold building (News: 2017) ; Custom molds for plastics industry (News) ; large, complex molds (News: 2023) ; Ear savers (News: 2020) ; custom molds (News: 2023)","~50k ft² (zoominfo) ; 60000 (News: 2017) ; 32,000 square feet (News: 2023)",~100 (zoominfo) ; 26 new jobs created (News: 2023) ; 85 (News: 2017) ; 25 new jobs (News: 2023),$20M (calc from employees); ~$10M (public: ZI 2023),54,Privately held; family-owned,CNC Mills (3-axis); Wire EDM; Injection Molding Tryout Presses ; State-of-the-art equipment (News) ; Advanced technology for mold manufacturing (News) ; Advanced machinery and technology (News: 2023) ; advanced machinery (News: 2023) ; advanced machinery and technology (News: 2023) ; Advanced technology and process improvements (News: 2016),Yes,NI,Yes,Yes,,"No region ; Greenville County, South Carolina (News: 2023) ; Iowa (News: 2017) ; Iowa (News: 2015)",Yes,,,
"Summit Mold, Inc",CY,"High-end, private moldmaker",http://www.summitmold.com,AMBA,4200 W Seltice Way,Post Falls,ID,83854,(208) 777-7462,"Automotive; Medical; Consumer Products; Electronics ; Automotive, Consumer goods (News: 2023)",Custom Mold Design & Engineering; High-Quality Mold Manufacturing; Mold Testing & Validation; Mold Repair & Maintenance; Mold Modification & Engineering Changes; Reverse Engineering & Replication; Logistics Support,~30k ft² (zoominfo),~50 (zoominfo),"""$10M (calc from employees); ~$5M (public: ZI 2023)""",28,Privately held; President Ron Finnicum; Founded by Ron Finnicum ; Acquired by Fathom (News: 2021) ; Acquired by Fathom (News: 2023),Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; Advanced moldmaking equipment (News: 2023),Yes,Yes,Yes,refer to site,,No region,Yes,,,
A1 Tool Corporation,CY,"High-end, private moldmaker",http://www.a1toolcorp.com,AMBA,1425 Armitage Ave,Melrose Park,IL,60160,(708) 345-5000,Packaging and containers; Consumer goods and appliances; Medical and healthcare; High-cavitation and high-precision applications ; Home appliance (News: 2023),Custom injection mold manufacturing; Stack molding and tandem molds; Multi-shot and smart molds; Prototype injection molding and thin wall plastic injection molds; In-mold labeling and conventional injection molds; Mold sampling and small production runs; Consulting and creative engineering services; OEM services with a cradle-to-grave methodology; CNC; Wire EDM ; Precision molds (News: 2023) ; Tool repair services (News: 2023) ; Injection mold tooling (News) ; Injection molds (News),~50k ft² (zoominfo),"""~100 (zoominfo)""",$20M (calc from employees); ~$10M (public: ZI 2023),79,Privately held; founded in 1946.,"Injection Molding Tryout Presses; CNC Mills (3-axis); Wire EDM; CMM / Metrology Systems ; Advanced CNC machining, state-of-the-art mold-making equipment (News: 2023) ; State-of-the-art technology (News) ; State-of-the-art equipment and technology (News: 2023) ; high-speed machining center (News: 2018)",Yes,NI,NI,NI,,"Ilin ; Milwaukee, Wisconsin (News: 2023)",Yes,,,
Alchemy Precision,CY,"High-end, precision tooling shop",http://www.alchemyprecision.com,AMBA,"740 Industrial Dr, Unit G",Cary,IL,60013,(847) 829-4631,Medical; Electronics; Consumer; Automotive,"Design and build of injection, insert molding, micro molds, and Class 101 production tooling; Complete mold repair, engineering revisions, and troubleshooting; Contract wire EDM, sinker EDM, engineering, and CNC machining; CMM inspection and contract mold design; High-speed CNC machining and precision grinding; Mold flow analysis and custom part modeling; Class 101; CNC; Wire EDM; Sinker EDM ; Die sinking EDM (News: 2023)","~30,000 ft² (zoominfo)",~40 (estimate),$11M (calc from sqft),36,Privately held; locally owned and operated; family-owned.,CNC Mills (3-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; Die sinking EDM technology (News: 2023) ; Advanced CNC machinery (News: 2023),Yes,NI,Yes,Yes,,Ilin,Yes,,,
Angle Tool Works Inc.,CY,"High-end, private moldmaker",http://www.angletoolworks.com,AMBA,16W171 83rd St.,Burr Ridge,IL,60527-5824,(630) 325-0200,Automotive; Industrial; Plastics,Thermoform tooling; large flat bed tooling; Trim tooling; trim-in-place (tilt bed) cut knife tooling; Third motion tools; thermoform stacker tooling; Micro machining; development of injection molds and blow molds,~30k ft² (zoominfo),~50 (zoominfo),$11M (calc from sqft); ~$5M (public: ZI 2023),NI,"Privately held; family-owned; leadership includes Joseph, Michael, and Robert Borse",Makino (5-axis); Yasda (3-axis); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,NI,Yes,,Ilin,NI,,,
"Armin Tool and Manufacturing Company, Inc.",CY,"High-end, medical-focused moldmaker",http://www.armin-ind.com,AMBA,1500 N La Fox St.,South Elgin,IL,60177,(847) 742-1864,"Medical; Packaging; Caps and Closures ; Automotive, Consumer goods (News: 2023) ; Aerospace, Medical (News: 2016)","Design and engineering of plastic injection molds; Production mold sampling and validation; High-volume mold manufacturing for caps and closures; Specialized in medical and packaging industry requirements ; Precision metal manufacturing, mold building, tool & die services (News) ; Plastic injection molds (News)","~50k ft² (zoominfo) ; 20,000 (News: 2016)",~50 (estimate),$10M (calc from employees); ~$5M (public: estimate),NI,Privately held; details on ownership structure not specified; potential family-owned.,Makino (5-axis); Yasda (5-axis); CNC Mills (3-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,refer to site,NI,NI,,"Ilin ; Addison, Illinois (News: 2016)",Yes,,,
BA Die Mold,CY,"High-end, precision tooling shop",http://www.badassmolds.com,AMBA,3685 Prairie Lake Court,Aurora,IL,60504,(630) 978-4747,"Medical and Dental Devices; Water Filtration and Plumbing; Caps & Closures and Packaging; Agriculture and Lighting ; Automotive, Medical, Consumer products (News: 2023)","Design and engineering using 3D solid models and databases; Manufacturing of unscrewing and multi-action tooling; Rapid prototyping with tool steel prototype molds; Short run molding; In-house tryouts; Low volume production runs; Repair, maintenance, and engineering changes; CNC ; Precision moldmaking (News: 2023) ; Unscrewing molds (News: 2023)","~30,000 ft² (zoominfo) ; 20000 (News: 2023) ; 20,000 (News: 2010)",~50 (zoominfo) ; 25 (News: 2023),$11M (calc from sqft); ~$5M (public: ZI 2023),57 ; 55 (News: 2023) ; 50 (News: 2023),Privately held; founded in 1968. ; Family-owned (News: 2023),Makino (5-axis); Yasda (3-axis); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; Advanced equipment for precision moldmaking (News: 2023),Yes,Yes,Yes,Yes,,"Ilin ; Illinois (News: 2023) ; Aurora, Illinois (News: 2010)",Yes,,,
1 Source Design Ltd,CY,"High-end, private",http://1-sourcedesign.com/,AMBA,refer to site,refer to site,refer to site,refer to site,(519) 627-6034,Automotive; Industrial; Consumer Goods; Medical ; Healthcare (News: 2020),CAD Design; Die Cast Tools; Glass Encapsulation Molds; Plastic Injection Repairs/Engineering Changes/Preventive Maintenance/Replacement; Tool and die manufacturing ; Face shields (News: 2020),~30k ft² (public: ZI 2023),refer to site,"""$11M (calc from sqft); ~$5M (public: ZI 2023)""",46,Privately held; established in 1979.,Haas VF6/50 (CNC Mill) ×1,refer to site,NI,Yes,NI,,Canada ; Wallaceburg (News: 2020),Yes,,,
Harris Precision Mold,CY,"High-end, medical-focused moldmaker",http://www.hpmold.com,AMBA,1705 West 4th Street,Tempe,AZ,85281,(480) 731-3135,"Medical, Pharmaceutical, Packaging","Class 101, CNC, Wire EDM ; Intubation shields (News: 2020)",~30k ft² (zoominfo),refer to site,$11M (calc from sqft); ~$5M (public: ZI 2023),NI,Privately held; member of the American Mold Builders Association.,Makino (3-axis VMC); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,refer to site,Yes,NI,,No region,Yes,,,
M.R. Mold & Engineering Corp.,CY,"High-end, private moldmaker",http://www.mrmold.com,AMBA,1150 Beacon Street,Brea,CA,92821,(713) 614-5601,"Medical; Automotive; Consumer products; Industrial ; medical, aerospace, consumer products (News: 2018)","liquid silicone rubber; LSR; CNC ; Silicone molding (News: 2023) ; molds for liquid silicone rubber, gum stock rubber, thermoset, thermoplastic (News: 2018) ; LSR molds and components (News: 2023) ; Silicone molding expertise (News: 2023)","23,000 ft² (site)",30 (site) ; 30 (News: 2018),"""$6M (calc from employees); ~$5M (public: ZI 2023)""",NI,"Privately held, possibly family-owned",Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; Injection Molding Tryout Presses; CMM / Metrology Systems ; State-of-the-art equipment (News: 2023),Yes,Yes,NI,NI,,No region,Yes,,,
"Prestige Mold, Inc.",CY,"High-end, precision tooling shop",http://www.prestigemold.com,AMBA,11040 Tacoma Drive,Rancho Cucamonga,CA,91730,(388) 768-3484,"Medical, Closures, Packaging ; Medical, Consumer products (News: 2023) ; Medical, Aerospace, Consumer products (News: 2010)",Design and engineering of precision injection molds; Manufacture and testing of injection molds; Implementation of automation and robotics in mold manufacturing; Turnkey system solutions for injection molding ; Liquid silicone rubber injection molds (News: 2010),"~50k ft² (zoominfo) ; 25,000 (News: 2023) ; 12,000 (News: 2010)",~100 (zoominfo) ; 25 (News: 2010),"""$12M (calc from employees); ~$20M (public: ZI 2023)""",NI ; 40 (News: 2023) ; 25 (News: 2010),"Privately held, possibly family-owned ; Bob Alley (News: 2023) ; Mike Raines (News: 2010)",Makino; Yasda; Kern ; Advanced equipment (News: 2023) ; Advanced mold-making equipment (News: 2010) ; New equipment for automation (News: 2023) ; State-of-the-art equipment (News: 2023),refer to site,refer to site,NI,Yes,,"No region ; Brea, California (News: 2023) ; California (News: 2010)",Yes,,,
Source One,CY,"High-end, precision tooling shop",http://www.source-one.net,AMBA,refer to site,refer to site,refer to site,refer to site,(176) 531-1060,Defense; Space; Aerospace; Medical; Commercial,Product design and development; Complete mold making and mold design; CNC machining and EDM machining; High precision grinding and electrode manufacturing ; Plastic waste sorting and recycling (News: 2023) ; Sorting of rigid waste plastics (News: 2023),"~30k ft² (zoominfo) ; 50,000 (News: 2023)",~50 (zoominfo) ; 100 (News: 2023),"""$11M (calc from sqft); ~$5M (public: ZI 2023)""",NI,Privately held; details not specified.,CNC Mills (5-axis); EDM Machines ; Advanced sorting technology (News: 2023) ; state-of-the-art machinery (News: 2023),NI,Yes,NI,NI,,No region ; United States (News: 2023),Yes,,,
"Chicago Mold Engineering Company, Inc.",CY,"High-end, precision tooling shop",http://www.chicagomold.com,AMBA,615 Stetson Ave.,St. Charles,IL,60174,(630) 584-1311,"Automotive; Appliances; Electronics; Plastics ; Automotive, Consumer goods (News: 2023)","Engineering and mold design using advanced CAD software; Mold making including tooling, mold construction, and manufacturing; Machining services such as gundrilling, deep hole drilling, and 5-axis CNC machining; Inspection services featuring ATOS III non-contact white light scanning and CMM; Injection molding services including sampling, tool tryout, and short-run production molding; CNC; 5-axis CNC; Wire EDM; CMM ; Precision mold manufacturing (News: 2023)","~50,000 ft² (zoominfo) ; 40,000 (News: 2013)",~80 (estimate),"""$16M (calc from employees); ~$10M (estimate)""",NI,Privately held; possible family-owned.,CNC Mills (5-axis); Wire EDM; CMM / Metrology Systems; Gun Drill ; State-of-the-art machinery (News: 2023) ; Advanced equipment (News: 2013),NI,Yes,Yes,Yes,"St. Charles, Illinois (News: 2013)",Ilin,NI,,,
Comet Die & Engraving Company,CY,"High-end, private moldmaker",http://www.cometdie.com,AMBA,909 North Larch Avenue,Elmhurst,Illinois,60126,(630) 833-5600,"Automotive; Consumer products; Industrial applications; Packaging ; automotive, aerospace (News: 2023)","plastics moldmaking; injection molds; comprehensive moldmaking services; New mold construction; mold repair; Texturing; contract machining; Gun drilling; mold revisions; In-house mold design; plastic injection moldmaking ; moldmaking, engraving (News: 2023)","45,000 ft² (site)",Over 60 (site),$12M (calc from employees); ~$5M (public: ZI 2023),127 ; 122 (News: 2023),Privately held; family-owned; managed by T.J. and Michael Donlin ; family-owned (News: 2023),CNC and Electrical Discharge machines; Milling and Drilling equipment; Spotting Presses ; advanced machinery (News: 2023),refer to site,NI,Yes,Yes,,Ilin,NI,,,
Craftsman Tool & Mold Company,CY,"High-end, precision tooling shop",http://www.craftsmanmold.com,AMBA,2750 Church Road,Aurora,IL,60502,(630) 851-8700,Medical; Aerospace; Oil & Gas; Defense,Custom mold base manufacturing; High-precision gun drilling; CAD/CAM integration; Custom machining; CNC,~40k ft² (site),~50 (estimate),"""$10M (calc from employees); ~$10M (estimate)""",60,Privately held; family-owned,CNC Mills (3-axis); Gun Drill ; State-of-the-art machinery (News: 2023),Yes,NI,NI,Yes,,Ilin,Yes,,,
Creative Die Mold Corp.,CY,"High-end, precision tooling shop",http://www.creativediemold.com,AMBA,425 Windy Point Drive,Glendale Heights,IL,60139,(630) 790-9731,Automotive; Consumer Products; Electronics; Medical,"Plastic injection mold building and repair; Design and engineering services; In-house mold base, polishing, and final assembly; Precision tooling and cost-saving automation","26,000 ft² (site)",50+ (site),$10M (calc from employees); ~$5M (public: ZI 2023),47,Privately held; established in 1978.,Makino (3-axis VMC); Yasda (3-axis VMC); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,Yes,NI,,Ilin,Yes,,,
Electroform Company,CY,"High-end, private",http://www.injectionmoldmaking.com,AMBA,11070 Raleigh Ct.,Rockford,IL,61115,(815) 633-1113,"Packaging, Medical, Automotive, Consumer Products, Electrical/Electronics ; Aerospace, Medical (News: 2023)","Injection mold manufacturing, Product development and engineering, Automation solutions for plastics manufacturing, Research & Development in advanced molding technologies ; High-precision molds and components (News: 2023) ; Two-shot injection molding (News: 2023)",~50k ft² (public: ZI 2023),50 (site),"""$10M (calc from employees); $30M (calc from sqft)""",36,Privately held; founded in 1988.,Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; Injection Molding Tryout Presses; CMM / Metrology Systems ; Engel E-Max injection molding machine (News: 2023) ; Advanced CNC machinery (News: 2023) ; Two-shot injection molding press (News: 2023),Yes,Yes,NI,NI,,Ilin,Yes,,,
Foreman Tool & Mold,CY,"High-end, private moldmaker",http://www.foremantool.com,AMBA,3850 Swenson Ave,St. Charles,IL,60174,(630) 377-6389,"Automotive (Decorative Interior and Functional Components); Industrial Components; High-tech applications ; Automotive, Medical, Consumer products (News) ; Automotive (News: 2016)","Custom injection mold building and design; Engineering and tooling services; Quality assurance and validation processes; Injection molding for high-tech applications ; Mold design, Mold making, Injection molding (News)","63,000 ft² (site)",189 (calc from revenue_site),$37.8M (calc from sqft),41,Privately held; family-owned since 1984.,Makino (5-axis); Yasda (5-axis); CNC Mills (3-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems ; 500-ton and 300-ton KraussMaffei injection molding machines (News: 2019) ; State-of-the-art equipment (News: 2023),Yes,refer to site,NI,Yes,,"Ilin ; St. Charles, Illinois (News)",Yes,,,
Helm Tool Company,CY,"High-end, precision tooling shop",http://www.helmtool.com,AMBA,1420 Wright Blvd,Schaumburg,IL,60193,(847) 364-0855,Automotive; Consumer products; Electronics; Industrial,Injection mold manufacturing and design; High-speed and 5-axis milling; Sinker and Wire EDM machining; Mold repair and refurbishment; Prototype and pre-production molding; 5-axis; Wire EDM; Sinker EDM,"92,000 ft² (site) ; 100,000 square feet (News: 2023)",~50 (zoominfo),$10M (calc from employees); ~$10M (public: ZI 2023),48,Privately held; founded by Helmut Mueller in 1977; family-owned.,CNC Mills (5-axis); Wire EDM; Sinker EDM; Injection Molding Tryout Presses ; Advanced machinery and technology (News: 2023) ; New equipment and technology (News: 2023),NI,Yes,Yes,Yes,,Ilin ; Michigan (News: 2023),NI,,,
Industrial Molds,CY,"High-end, precision tooling shop",http://www.industrialmolds.com,AMBA,5175 27th Avenue,Rockford,IL,61109,(815) 397-2971,Automotive; Medical; Appliance; Electronics; Packaging,"Injection mold design and engineering; High-speed machining and precision tooling; Multi-shot and insert mold manufacturing; Repair and service of molds, including die cast and gas assist; Capability to handle large tools up to 1,500 tons; CNC; Wire EDM ; Precision mold manufacturing (News: 2021)",~50k ft² (zoominfo),~100 (zoominfo),$12M (calc from employees); ~$10M (public: ZI 2023),57 ; 50 (News: 2018) ; 50 (News: 2021),Privately held; family-owned; third-generation leadership ; Genc family (News: 2021),CNC Mills (3-axis); Wire EDM; Injection Molding Tryout Presses; CMM / Metrology Systems ; Automated moldmaking cell (News: 2023),Yes,NI,Yes,Yes,,"Ilin ; Rockford, Illinois (News: 2021)",Yes,,,
"M&M Tooling, Inc.",CY,"High-end, private moldmaker",http://www.mmtooling.com,AMBA,395 E. Potter,Wood Dale,IL,60191,(630) 595-8834,"Plastics; Tooling; Manufacturing ; Automotive, Consumer goods (News: 2023)",Custom mold base manufacturing; CNC machining; Mazak CNC machining centers ; Mold bases (News: 2023),"~30,000 ft² (zoominfo)","""~20 (zoominfo)""","""$12M (calc from employees); ~$2M (public: ZI 2023)""",19,Privately held; President Michael E. Mirante; Family-owned,Mazak CNC machining centers ; Advanced equipment for precision manufacturing (News: 2023),refer to site,refer to site,NI,Yes,,Ilin,NI,,,
Mako Mold Corp,CY,"High-end, private moldmaker",http://www.makomold.com,AMBA,3820 Ohio Avenue - Unit 7,St. Charles,IL,60174,(630) 377-9010,"Consumer Products, Medical, Industrial, Electronics, Appliance, Agricultural","Injection mold manufacture and engineering, CNC machining services, Wire and sinker EDM services, Mold maintenance and refurbishment, CNC, Wire EDM, Sinker EDM","~30,000 ft² (zoominfo)",~50 (zoominfo),$10M (calc from employees); ~$5M (public: ZI 2023),56,Privately held; family-owned; founded in 1969.,CNC Mills (3-axis); Wire EDM; Sinker EDM,Yes,NI,Yes,Yes,,Ilin,Yes,,,
