company_name,state,owner_or_ceo_name,source,source_url,age_or_birthyear,children,family_in_company,notes,confidence
MSI Mold Builders,IA,Roger Klouda (CEO),Company 'MSI Family' page; local news feature,https://www.msimoldbuilders.com/msi-family; https://www.thegazette.com/small-businesses/big-molds-are-complex/,unknown,unknown,Yes — second-generation (took over from father Ed Klouda),"Company page names Roger Klouda (CEO) noting he took over in 1988 from his father Ed; local paper lists 'Owner: Roger Klouda'. Kyle Klouda appears on LinkedIn as President, indicating continued family leadership, but children details are not explicitly stated on official pages.",High
Summit Mold,unknown,unknown,Company website (landing),http://www.summitmold.com,unknown,unknown,unknown,Landing page does not list leadership; deeper pages or SOS filings needed to identify owner/CEO.,Low
Accurate Mold (AC Mold),unknown,unknown,Company website (landing),http://www.acmold.com,unknown,unknown,unknown,No leadership names shown on the provided page; requires state filings or LinkedIn/company 'About' page.,Low
A1 Tool Corporation,IL,Geoff Luther (Owner & CEO),Company blog/news; Plastics News; LinkedIn,https://www.a1toolcorp.com/blog; https://www.plasticsnews.com/news/a1-opening-tool-repair-facility-milwaukee; https://www.linkedin.com/in/geoff-luther-0738482b,unknown,unknown,Unknown,"Company news names Geoff Luther as owner/president; Plastics News (Jan. 10, 2023) quotes 'owner and CEO Geoff Luther'; LinkedIn lists him as Owner/CEO. No public sources naming spouse/children or their involvement.",High
Alchemy Precision,unknown,unknown,Company website (landing),http://www.alchemyprecision.com,unknown,unknown,unknown,"No obvious leadership page; additional searches (SOS, LinkedIn) needed for owner/CEO.",Low
Angle Tool Works,IL,Robert Borse (President),LinkedIn executive profile; company contact page,https://www.linkedin.com/in/robert-borse-0b959464; https://angletoolworks.com/contact_us.html,unknown,unknown,"Yes — Borse family listed in contacts (Robert, Michael, Joseph)","LinkedIn lists Robert Borse as President; company contact page lists Robert, Michael, and Joseph Borse—indicating family involvement. No public mention of children or ages.",High
Armin Industries,IN,Paul Stoll (President),LinkedIn executive profile; data provider corroboration,https://www.linkedin.com/in/paul-stoll-9b77212b; https://www.datanyze.com/companies/armin-tool-manufacturing/2720439,unknown,unknown,Yes — family-owned (per company/press and local posts),LinkedIn shows Paul Stoll as President of Armin Tool & Mfg. Multiple references (Datanyze; local posts) indicate family ownership; explicit children or relatives not named on official sources.,Medium
BadAss Molds,unknown,unknown,Company website (landing),http://www.badassmolds.com,unknown,unknown,unknown,No leadership page on the provided URL; more research required.,Low
Chicago Mold Engineering,IL,unknown,Company website (landing),http://www.chicagomold.com,unknown,unknown,unknown,No leadership/owner identified on the landing page; needs SOS filing or LinkedIn research.,Low
Comet Die & Engineering,MI,T.J. Donlin (President),Company website (history); CTE Magazine feature,https://cometdie.com/; https://www.ctemag.com/articles/moldmaker-still-family-owned-after-122-years,unknown,unknown,Yes — fourth-generation (Donlin family),"CTE Magazine (Mar 10, 2020) reports the company is run by founder’s great-grandsons Michael Donlin (VP) and T.J. Donlin (President). Site includes company history; strong evidence of multi-generation family leadership, no public children details.",High
Craftsman Mold,unknown,unknown,Company website (landing),http://www.craftsmanmold.com,unknown,unknown,unknown,No leadership names present on landing page; deeper research needed.,Low
Creative Die & Mold,unknown,unknown,Company website (landing),http://www.creativediemold.com,unknown,unknown,unknown,No leadership names on the provided link.,Low
DEMGY (US),CT,"Pierre-Jean Leduc (Group CEO); Mike Walter (President, DEMGY Pacific & DEMGY Chicago)",DEMGY press/website; industry news,https://www.demgy.com/en/news/press-release/pierre-jean-leduc-elected-president-of-polyvia-union-of-polymer-converters; https://www.aerospacemanufacturinganddesign.com/news/demgy-group-acquires-tool-gauge/,unknown,unknown,Unknown,Group leadership publicly listed as Pierre-Jean Leduc (CEO). US leadership for DEMGY Pacific and DEMGY Chicago named as Mike Walter in 2025 acquisition coverage. No public children/family info.,High
Elba Tool & Mold,MI,unknown,Company site; industry features,https://elbatool.com/; https://www.moldmakingtechnology.com/articles/drive-by,unknown,unknown,Possible — Elendt family historically involved,Historical references show founders Horst Elendt and Otto Barth; MMT feature (2013) references ELBA Tool founders/family. Current owner/CEO not specified on public page.,Medium
InjectionMoldMaking.com (portal),unknown,N/A – directory/portal,Site itself is not a company,http://www.injectionmoldmaking.com,N/A,N/A,N/A,"This URL is a general information/marketing portal, not a single manufacturing company; ownership not applicable.",High
Foreman Tool & Mold,WI,Ripan Sheth (President & CEO),LinkedIn executive profile,https://www.linkedin.com/in/ripan-sheth-8a21ba6,unknown,unknown,Unknown,LinkedIn lists Ripan Sheth as President & CEO of Foreman Tool & Mold. No official bio with age or family details found.,Medium
"Helm Tool Company, Inc.",IL,Helmut (Helm) Mueller (Owner/President),Company About page; MoldMaking Technology; D&B,https://www.helmtool.com/about; https://www.moldmakingtechnology.com/news/helm-tool-holds-grand-opening-of-new-facility; https://www.dnb.com/business-directory/company-profiles.helm_tool_company_incorporated.1a58cb43e215c57e82915aca6f9e0ac7.html,unknown,unknown,Yes — family-named company (Mueller) across sources,Company 'About' states Helm Tool was founded in 1977 with Helmut Mueller as owner/president; MMT covers 2022 HQ opening; D&B lists Helmut Mueller as key principal. No children publicly named on official pages.,High
Industrial Molds (Pyramid Molding Group),IL,"Peterson family leadership (e.g., Tim & Eric Peterson; Andy Peterson – PMG COO)",Local news; company/PMG sites; AMBA board listing,https://www.wifr.com/content/news/Insustrial-Molds-Inc-marks-50-years-in-Rockford-486325381.html; https://pyramidmoldinggroup.com/pmg-team/; https://industrialmolds.com/news/; https://amba.org/membership/board-of-directors/,unknown,unknown,Yes — multi-generation (Peterson family),WIFR (2018) notes founder Jack Peterson and three generations involved; PlasticsToday feature says brothers Tim & Eric run operations; PMG site lists Andy Peterson (COO) and AMBA shows him as board VP. Current individual CEO title not explicitly stated on public pages; identifies strong family control.,High
Janler Corporation,IL,"(Prior) Carol Ebel (President); acquired by Uniphase, LLC in 2024",Company news release; MBS Advisors; BBB profile,https://janler.com/uniphase-acquires-janler-corporation/; https://mbsadvisors.com/deals/janler-plastics-acquired/; https://www.bbb.org/us/il/chicago/profile/machine-tool-repair/janler-corporation-0654-88126319,unknown,unknown,Unknown,"Official post (Oct 29, 2024) reports acquisition by Uniphase, LLC; prior president widely listed as Carol Ebel. Post-acquisition owner is Uniphase; no family details in public sources.",High
MM Tooling,unknown,unknown,Company website (landing),http://www.mmtooling.com,unknown,unknown,unknown,Landing page lacks leadership details; more research required.,Low
Mako Mold,unknown,unknown,Company website (landing),http://www.makomold.com,unknown,unknown,unknown,No leadership/owner names visible on landing page; additional sources needed.,Low
Matrix Plastic Products,IL,Andy Ziegenhorn (President & CEO),Company management page; blog (founder family),https://www.matrixplastic.com/about-us/management-team; https://www.matrixplastic.com/blog-1/105-the-manufacturing-alliance-podcast,unknown,unknown,Yes — Ziegenhorn family holds several leadership roles,"Management page lists Andy Ziegenhorn (CEO), Mark Ziegenhorn (CFO), Tom Ziegenhorn (Manufacturing Ops), John Ziegenhorn (leadership) and notes co-founder Paul Ziegenhorn as President Emeritus, indicating active multi-generation family involvement. No specific children named beyond family surnames.",High
"Pelco Tool & Mold, Inc.",MI,unknown,Company site; background articles,https://www.pelcotoolinc.com/; https://www.salary.com/research/company/pelco-tool-mold-inc/moldmaker-salary,unknown,unknown,Possible — founded by Emil Peluso (historical),Pelco’s site describes operations; third-party background notes founder Emil Peluso (1963). Current owner/CEO not listed on official site; children/family not publicly named.,Medium
"PM Mold Company, Inc.",IL,Larry Hauck (President); owned by NewCo Plastics (White Wolf Capital),Press release; chamber profile; LinkedIn,https://www.prweb.com/releases/NewCo_Plastics_a_White_Wolf_Capital_portfolio_company_Announces_Acquisition_of_PM_Mold_Company/prweb18909459.htm; https://members.schaumburgbusiness.com/list/member/pm-mold-company-3545; https://www.linkedin.com/in/larry-hauck-502904a0,unknown,unknown,Yes — prior owners included Hauck/Bradley families (pre-sale),2022 press and CLA advisory note PM Mold’s sale to NewCo Plastics; Larry Hauck remains President post-acquisition. Prior ownership included Norbert Hauck’s son Larry and the Bradley family. No public sources listing children employed at PM Mold.,High
Sullivan Tool & Repair,IL,John P. Sullivan (Owner),LinkedIn; D&B profile; Methods Machine case study,https://www.linkedin.com/in/john-sullivan-81580242; https://www.dnb.com/business-directory/company-profiles.sullivan_tool_and_repair_inc.c6a924a074b445d75ecdd7ba58f6516f.html; https://www.methodsmachine.com/resources/case-studies/precision-mold-manufacturer-finishes-the-job-with-the-mv-1100h/,unknown,unknown,"Possible — employees with Sullivan surname (e.g., Jake Sullivan) appear in trade case study","LinkedIn lists John P. Sullivan as Owner of Sullivan Tool & Repair (Elgin, IL). D&B lists John P. Sullivan as key principal. A 2020 Methods Machine case study mentions programmer Jake Sullivan at the company, suggesting family involvement but not explicitly stating relationship. No reliable age/children details published.",Medium
"Tri-Par Die and Mold, Inc.",IL,Bill Plocinski (Owner),MoldMaking Technology feature; Company history page,https://www.moldmakingtechnology.com/articles/experience-knowledge-base-and-creativity-give-tri-par-an-edge-in-molds-for-high-flow-material-parts; https://www.tri-par.com/about-tri-par-mobile/,unknown,unknown,Yes — Plocinski family appears in leadership (Bill/David),"MMT article names 'current owner, Bill Plocinski'; company history traces ownership from founders to sole owner Raymond Polcyn and later leadership. Contact aggregators list David Plocinski as CEO, indicating family members in leadership; specific children not publicly detailed.",High
BD Manufacturing & Molds,unknown,unknown,Company website (landing); no corroborating press found,http://www.bdmfgmolds.com,unknown,unknown,unknown,Could not verify owner/CEO from reliable sources. Searches often return unrelated Becton Dickinson (BD) results; the small-shop site has no leadership page. Needs state filings/LinkedIn for confirmation.,Low
"SPC Manufacturing (Johnson City, TN)",TN,Kim Schneider (Owner),Company About page,https://www.spcmanufacturing.com/about/,unknown,unknown,unknown,Company About page explicitly states 'SPC Manufacturing owner Kim Schneider…'. No public children/family mentions on official pages.,High
"Decatur Mold, Tool & Engineering, Inc.",IN,Rhonda Lustenberger (President),LinkedIn executive profile,https://www.linkedin.com/in/rhonda-lustenberger-44b4144,unknown,unknown,unknown,LinkedIn lists Rhonda Lustenberger as President. Company site does not publish an owner bio; SOS filings recommended for officer confirmation and family details.,Medium
"Lorentson Manufacturing Co., Inc.",IN,Christina Lorentson (President/CEO),Company staff page; Ivy Tech article,https://lorentson.com/our-staff.html; https://ivytechcommunitycollegekokomo.wordpress.com/2020/10/14/lorentson-manufacturing-gift-supports-cnc-lab-at-ivy-tech-kokomo/,unknown,unknown,Yes — third-generation Lorentson family leadership,Company staff page names Christina Lorentson as President/CEO; Ivy Tech (Oct. 2020) confirms Lorentson family founded the firm in 1949 and that Christina is third-generation leadership. No public children mentions.,High
Michiana Global Mold (MG Mold),IN,Eric Karaman (President & COO),Company Contact page,https://www.mgmold.com/contact-us/,unknown,unknown,unknown,Company 'Key Contacts' shows Eric Karaman as President & COO. No public family references on site.,High
North American Lighting (NAL),IL,Kishore Ahuja (President & COO),Company news; Company leadership page; Koito corporate release; Forbes company profile,https://nal.com/blog/north-american-lighting-nal-names-new-president-and-chief-operating-officer/; https://nal.com/corporate-headquarters/; https://www.koito.co.jp/english/news/2024/04/25/004336.html; https://www.forbes.com/companies/north-american-lighting/,unknown,unknown,N/A — corporate subsidiary (Koito Group),"Official NAL press (Aug 2022) announces Kishore Ahuja as President/COO; NAL leadership page lists Ahuja in that role; Koito corporate release (Apr 2024) lists Ahuja as Corporate Officer and President of NAL. As a large subsidiary, family ownership does not apply.",High
"Roembke Mfg. & Design, Inc.",IN,Greg Roembke (President),Company site (About); LinkedIn executive profile,https://roembke.com/; https://www.linkedin.com/in/groembke,unknown,unknown,Yes — family business (founded by John & Betty Roembke; son Greg leads),"Company About page states the business was founded by John & Betty Roembke and 'today the company is led by John’s son, Greg Roembke'; LinkedIn shows Greg as President. No public children data.",High
Southern Indiana Mold Corporation (SIMCO),IN,Angela J. Grindstaff (President),D&B profile; BrokerSnapshot company record,https://www.dnb.com/business-directory/company-profiles.southern_indiana_mold_corporation.8da1f1a16dbc9bbc3e6cec91613a1f70.html; https://brokersnapshot.com/Company?dot=614554,unknown,unknown,unknown,Multiple business directories list Angela Grindstaff as President. Company site does not publish leadership details; SOS filing recommended for officer verification.,Medium
ASH Industries,LA,Hartie Spence (CEO),Company news post; LinkedIn,https://www.ashindustries.com/post/made-in-america-by-an-injection-molder-in-lafayette-la; https://www.linkedin.com/in/hartie-spence-006720,unknown,unknown,unknown,"Official company news article (Apr 2024) refers to 'Hartie Spence, our CEO…'. LinkedIn corroborates leadership in Lafayette, LA. No family details on public pages.",High
"Prime Manufacturing Technologies, Inc.",MD,Luke Chow (President & CEO),RMI of Maryland profile; I-95 Business article; Company site,https://rmiofmaryland.com/champions/luke-chow/; https://i95business.com/articles/content/quality-value-driven-manufacturing-solutions-located-right-here-in-howard-county-1000; https://primemfgtech.com/,unknown,unknown,unknown,"Regional manufacturing groups and local business media identify Luke Chow as President & CEO in Savage/Howard County, MD. No family details publicly listed.",High
"Accu-Die & Mold, Inc.",MI,Dan Lausch (President); Daniel J. Reifschneider (Founder/CEO),Moody on the Market news; LinkedIn,https://www.moodyonthemarket.com/new-president-announced-at-accu-die-mold-in-stevensville/; https://www.linkedin.com/in/daniel-lausch-57b497aa/,unknown,unknown,Possible — founder remains CEO alongside new president,"Feb 1, 2024 news: founder Daniel J. Reifschneider steps back after 33 years as President/CEO and promotes Dan Lausch to President, with Reifschneider remaining CEO. No public children data in sources.",High
Baumann Tool & Die,MI,Mark Brown (CEO/Owner),Crain’s/Calder Capital deal note; Company contact page,https://www.caldergr.com/baumann-tool-die-of-zeeland-michigan-acquired-by-individual-buyer-mark-brown/; https://baumanntd.com/contact/,unknown,unknown,unknown,2016 acquisition article states Baumann Tool & Die was acquired by individual investor Mark Brown; company contact page lists 'CEO: Mark Brown' with email. No family details publicly cited.,High
Best Tool & Engineering (BTE Plastics),MI,Joe Cherluck (President & Founder),Company article; LinkedIn; Contact page,https://bteplastics.com/company-week-article/; https://www.linkedin.com/in/joe-cherluck; https://bteplastics.com/contact-best-tool/,unknown,unknown,unknown,"Company materials identify Joe Cherluck as President and founder in Clinton Township, MI. No public mentions of children/family in the company.",High
Byrne Tool + Design,MI,Norman Byrne (Owner/Founder); current GM Mike McLean,Company About page; LinkedIn company page,https://byrne-tool.com/about-us/; https://www.linkedin.com/company/byrne-tool-%26-die,unknown,unknown,"Possible — family business (acquired by Norman Byrne in 1997), current leadership includes non-family GM",About page states Norman Byrne purchased and renamed the company; LinkedIn lists Mike McLean as General Manager. Current owner not explicitly listed beyond founder reference; no public children details.,Medium
"Classic Die, Inc.",OH,D.L. Winell (CEO); Paul Knoppe (COO); Jon Knoppe (CFO),LinkedIn company profile (owner/operator team),https://lb.linkedin.com/company/classic-die?trk=similar-companies_org_title,unknown,unknown,Yes — Knoppe family members in leadership (COO/CFO),LinkedIn describes a new owner/operator leadership team with D.L. Winell (CEO) and Paul & Jon Knoppe (COO/CFO). Family involvement inferred from shared Knoppe surname; official SOS filings could further confirm.,Medium
Commercial Tool Group (CTG),MI,JD Bouwman; Daniel Bouwman (Active Owners),Company history page; leadership references,https://commercialtoolgroup.com/about-ctg/company-history-2/,unknown,unknown,Yes — Bouwman family active owners (multi-generation),"CTG history notes that founder Al Bouwman’s son Doug led the company and that his sons JD and Daniel became active owners in 2012, continuing family ownership. No children details beyond family ownership line.",High
"CS Tool Engineering, Inc.",MI,unknown (family-founded by Don & Tom Mabie),Company About page,https://www.cste.com/about/,unknown,unknown,Possible — family history (Mabie brothers founded),"About page explains CS Tool (Cedar Springs, MI) was founded by brothers Don and Tom Mabie in 1967. Current owner/CEO not named on public page; SOS filings/LinkedIn needed to confirm present principals.",Medium
"Deppe Mold & Tooling, Inc.",MI,Jeff Deppe (Founder/Owner),Company site (About); LinkedIn; local directories,https://deppemold.com/; https://www.linkedin.com/company/deppe-mold-and-tooling-inc./,unknown,unknown,"Yes — family name appears among staff (e.g., Andrew Deppe)",Company site states it was founded in 1997 by Jeff Deppe; staff/records show additional Deppe family members employed. No reliable age/children counts published.,High
"Die-Tech & Engineering, Inc.",MI,Bill (William H.) Berry III (President/Owner),Siemens NX blog; D&B; LinkedIn,https://blogs.sw.siemens.com/nx-design/crisis-engineering-die-tech-engineering-joins-the-race-for-ventilators-in-the-coronavirus-pandemic/; https://www.dnb.com/business-directory/company-profiles.die-tech_and_engineering_inc.cd5d71536707dfd36f147680dd93ccb7.html; https://www.linkedin.com/in/bill-berry-5b9a3510/,unknown,unknown,Possible — family founders (William Berry Sr. obituary notes founder),"Siemens NX article (Apr 21, 2020) explicitly calls Bill Berry the 'president and owner.' D&B lists William H. Berry III as key principal. Obituary records indicate family founders, but no public children employed are listed on company pages.",High
Eifel Inc. (Eifel Mold & Engineering),MI,Rick (Richard) Hecker (Owner/President/CEO),Company history; MMT; Hermle case; LinkedIn; Instagram,https://www.eifel-inc.com/our-story/; https://www.moldmakingtechnology.com/news/eifel-mold-engineering-celebrates-50-years-in-moldmaking; https://www.hermle.de/en/industries-solutions/user-reports/detail/the-hermle-machines-created-new-possibilities-and-advantages-1/; https://www.linkedin.com/in/rick-hecker-1aa8469/; https://www.instagram.com/eifel_inc/,unknown,Eric Hecker (son),Yes — multi-generation (founder Josef Hecker; son Rick; grandson Eric active),"Eifel timeline notes ownership transition to Rick Hecker; MMT profile (Sep 5, 2023) and Hermle case study identify Rick as President/CEO. Company pages highlight grandson Eric Hecker’s involvement, confirming family in the company.",High
"Elite Mold & Engineering, Inc.",MI,Paul Patrash (CEO); founded by Joseph & Robert Mandeville,Company About; LinkedIn profile; ThomasNet,https://www.teameliteonline.com/about-us/; https://www.linkedin.com/in/paul-patrash-2234214/; https://www.thomasnet.com/company/elite-mold-engineering-inc-969717/profile,unknown,unknown,Yes — founded by Mandeville family; current CEO is non-family,Company About states Elite was founded by Robert and Joseph Mandeville; LinkedIn lists Paul Patrash as CEO. No reliable age/children mentions publicly available.,High
Franchino Mold & Engineering,MI,Mike Hetherington (President),Company team page,https://franchino.com/contact/our-team/,unknown,unknown,"Yes — Franchino family active (Kent Franchino, VP Ops)","Official team page lists Mike Hetherington as President and Kent Franchino as VP—Operations, confirming ongoing family participation though ownership is corporate/family-held.",High
General Die & Engineering (now part of ArtiFlex),MI,Chuck Kukulis (President/GM),ArtiFlex acquisition news; BBB; LinkedIn,https://artiflexmfg.com/2024/09/24/artiflex-acquires-general-die-and-engineering/; https://www.bbb.org/us/mi/grand-rapids/profile/die-maker/general-die-engineering-inc-0372-38230181; https://www.linkedin.com/in/chuck-kukulis-295bb671/,unknown,unknown,unknown,"ArtiFlex announced acquisition on Sep 24, 2024, noting GD&E will continue under GM Chuck Kukulis. BBB and LinkedIn show Kukulis as President/GM. Ownership is now ArtiFlex; no family details publicly noted.",High
"H & S Mold, Inc.",MI,unknown (no leadership listed),Company site (Contact/Services),https://www.hs-mold.biz/services/; https://www.hs-mold.biz/contact-us/,unknown,unknown,unknown,"Gaylord, MI mold shop with >45 years history; website lists address and capabilities but no named owner/CEO. Further confirmation would require Michigan SOS filings or local press.",Medium
"Hanson International, Inc.",MI,Julie LaVanway (President),Company About; BBB; News,https://hansoninternational.com/about/; https://www.bbb.org/us/mi/saint-joseph/profile/die-casting/hanson-international-inc-0372-38121077; https://www.moodyonthemarket.com/hanson-mold-changes-name-to-hanson-international/,unknown,unknown,Yes — founded by Merlin Hanson; Hanson family historically involved,"Company About identifies founder Merlin Hanson; BBB lists Julie LaVanway as President; local news (Sep 1, 2022) covered the rebrand from Hanson Mold to Hanson International with LaVanway as President.",High
"Johnson Precision Mold & Engineering, Inc.",MI,Randy (Randal Lee) Johnson (Owner/President),BBB profile; LinkedIn,https://www.bbb.org/us/mi/sturgis/profile/molds/johnson-precision-mold-engineering-inc-0372-38205030; https://www.linkedin.com/in/randy-johnson-5a2b2a14/,unknown,unknown,unknown,"BBB explicitly lists 'Mr. Randy Johnson, Owner'; LinkedIn corroborates President role. No public children/family details available.",High
"Krieger Craftsmen, Inc.",MI,Tim Krieger (Owner/President),Company leadership page; MMT award; Crain’s,https://www.kriegercraftsmen.com/leadership; https://www.moldmakingtechnology.com/articles/2016-leadtime-leader-awards-winner-krieger-craftsmen---the-relentless-pursuit-of-success; https://www.crainsgrandrapids.com/news/manufacturing/walker-manufacturer-krieger-craftsmen-files-for-chapter-11-bankruptcy/,unknown,unknown,unknown,Leadership page lists Tim Krieger as president and founder; multiple trade and news sources confirm ownership. No public children working in the business are listed.,High
"Legacy Precision Molds, Inc.",MI,Tom Van Ree (Founder/Owner); Tyler VanRee (President),Company About; LinkedIn; MMT/Alliance podcast,https://legacyprecisionmolds.com/about-us/; https://www.linkedin.com/in/tom-van-ree-b4a2219/; https://www.linkedin.com/in/tyler-vanree-665b8b90/; https://alliancelasersales.com/the-manufacturing-alliance-mmt-legacy/,unknown,Tyler VanRee (son),Yes — father/son leadership transition,"About page credits founder Thomas VanRee; LinkedIn shows Tyler VanRee as President. Podcast feature highlights father-son leadership at Legacy, confirming family in the company.",High
"Liberty Molds, Inc.",MI,Brian Scott (President/Owner),Company Team page; LinkedIn; Hurco blog,https://www.libertymolds.com/ourteam; https://www.linkedin.com/company/liberty-molds-inc; https://blog.hurco.com/customer-answers-the-call-to-combat-covid-19,unknown,unknown,unknown,Team page lists Brian Scott as President; LinkedIn shows him as owner; Hurco blog mentions management by President Brian Scott with VP Jeff Dee. No public children involvement listed.,High
"M.C. Molds, Inc.",MI,Robert J. Palazzolo (President),D&B company profile; company PDF brochure,https://www.dnb.com/business-directory/company-profiles.m_c_molds_inc.e12d9e189d9b8c6683b651037367d104.html; https://mcmolds.com/wp-content/uploads/2020/10/100220-MC-Molds-Pocket-Folder-Layout.pdf,unknown,unknown,unknown,D&B lists Robert J. Palazzolo as President; company brochure confirms long-standing MI location and operations. No public family details found.,Medium
Maximum Mold Group (Max 1 / Max 2 / Max 3),MI,David LaGrow (Owner/President),MMT Leadtime Leader; Company news; Moody on the Market,https://www.moldmakingtechnology.com/articles/2018-leadtime-leader-award-winner-maximum-mold-group; https://max3.us/news.htm; https://www.moodyonthemarket.com/passion-mission-drive-success-for-growing-maximum-mold-group-of-bh/,unknown,unknown,Yes — spouse Cindy LaGrow co-owns Max3,Trade press profiles David LaGrow as owner/president; company news confirms acquisition of Mach Mold and notes Cindy LaGrow ownership of Max3. No children publicly referenced.,High
"Concept Molds, Inc. (now Medbio Tooling)",MI,"Owned by Medbio, Inc. (acquired 2014)",Medbio press; Cascade Partners; PitchBook,https://medbiollc.com/medbio-acquires-local-mold-builder/; https://cascade-partners.com/transaction/concept-molds-has-been-acquired-by-medbio-inc/; https://pitchbook.com/profiles/company/122326-84,unknown,unknown,unknown,"Medbio acquired Concept Molds on Feb 10, 2014; ownership is corporate. No family details apply post-acquisition.",High
