Company Name,Target Status,Status (proposed),Public Website Homepage URL,Source,Street Address,City,State,Zipcode,Phone,Industries served,Products and services offered,Square footage (facility),Number of employees,Estimated Revenues,Years of operation,Ownership,Equipment,CNC 3-axis,CNC 5-axis,Spares/ Repairs,Family business,2nd Address,Region,Medical,Notes (Approach/ Contacts/Info),AI Failed Criteria,AI Filter Flag
MSI Mold Builders,CY,"High-end, private moldmaker",http://www.msimoldbuilders.com,AMBA,12300 6th St SW,Cedar Rapids,IA,52404,(556) 808-4694,"Automotive, Medical Equipment, Agriculture, Construction","Injection molds, New mold construction, Design services, Tooling revision, Repair and maintenance, Early supplier involvement, Injection, Structural foam, Gas assist, Blow, Structural web, CNC, Wire EDM, Injection Molding Tryout Presses",~50k ft² (zoominfo),~100 (zoominfo),$20M (calc from employees); ~$10M (public: ZI 2023),54,Privately held; family-owned,CNC Mills (3-axis); Wire EDM; Injection Molding Tryout Presses,Yes,NI,Yes,Yes,,No region,Yes,,,
"Summit Mold, Inc",CY,"High-end, private moldmaker",http://www.summitmold.com,AMBA,4200 W Seltice Way,Post Falls,ID,83854,(208) 777-7462,Automotive; Medical; Consumer Products; Electronics,Custom Mold Design & Engineering; High-Quality Mold Manufacturing; Mold Testing & Validation; Mold Repair & Maintenance; Mold Modification & Engineering Changes; Reverse Engineering & Replication; Logistics Support,~30k ft² (zoominfo),~50 (zoominfo),"""$10M (calc from employees); ~$5M (public: ZI 2023)""",28,Privately held; President Ron Finnicum; Founded by Ron Finnicum,Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,Yes,refer to site,,No region,Yes,,,
A1 Tool Corporation,CY,"High-end, private moldmaker",http://www.a1toolcorp.com,AMBA,1425 Armitage Ave,Melrose Park,IL,60160,(708) 345-5000,Packaging and containers; Consumer goods and appliances; Medical and healthcare; High-cavitation and high-precision applications,Custom injection mold manufacturing; Stack molding and tandem molds; Multi-shot and smart molds; Prototype injection molding and thin wall plastic injection molds; In-mold labeling and conventional injection molds; Mold sampling and small production runs; Consulting and creative engineering services; OEM services with a cradle-to-grave methodology; CNC; Wire EDM,~50k ft² (zoominfo),"""~100 (zoominfo)""",$20M (calc from employees); ~$10M (public: ZI 2023),79,Privately held; founded in 1946.,Injection Molding Tryout Presses; CNC Mills (3-axis); Wire EDM; CMM / Metrology Systems,Yes,NI,NI,NI,,Ilin,Yes,,,
Alchemy Precision,CY,"High-end, precision tooling shop",http://www.alchemyprecision.com,AMBA,"740 Industrial Dr, Unit G",Cary,IL,60013,(847) 829-4631,Medical; Electronics; Consumer; Automotive,"Design and build of injection, insert molding, micro molds, and Class 101 production tooling; Complete mold repair, engineering revisions, and troubleshooting; Contract wire EDM, sinker EDM, engineering, and CNC machining; CMM inspection and contract mold design; High-speed CNC machining and precision grinding; Mold flow analysis and custom part modeling; Class 101; CNC; Wire EDM; Sinker EDM","~30,000 ft² (zoominfo)",~40 (estimate),$11M (calc from sqft),36,Privately held; locally owned and operated; family-owned.,CNC Mills (3-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,NI,Yes,Yes,,Ilin,Yes,,,
Angle Tool Works Inc.,CY,"High-end, private moldmaker",http://www.angletoolworks.com,AMBA,16W171 83rd St.,Burr Ridge,IL,60527-5824,(630) 325-0200,Automotive; Industrial; Plastics,Thermoform tooling; large flat bed tooling; Trim tooling; trim-in-place (tilt bed) cut knife tooling; Third motion tools; thermoform stacker tooling; Micro machining; development of injection molds and blow molds,~30k ft² (zoominfo),~50 (zoominfo),$11M (calc from sqft); ~$5M (public: ZI 2023),NI,"Privately held; family-owned; leadership includes Joseph, Michael, and Robert Borse",Makino (5-axis); Yasda (3-axis); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,NI,Yes,,Ilin,NI,,,
"Armin Tool and Manufacturing Company, Inc.",CY,"High-end, medical-focused moldmaker",http://www.armin-ind.com,AMBA,1500 N La Fox St.,South Elgin,IL,60177,(847) 742-1864,Medical; Packaging; Caps and Closures,Design and engineering of plastic injection molds; Production mold sampling and validation; High-volume mold manufacturing for caps and closures; Specialized in medical and packaging industry requirements,~50k ft² (zoominfo),~50 (estimate),$10M (calc from employees); ~$5M (public: estimate),NI,Privately held; details on ownership structure not specified; potential family-owned.,Makino (5-axis); Yasda (5-axis); CNC Mills (3-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,refer to site,NI,NI,,Ilin,Yes,,,
BA Die Mold,CY,"High-end, precision tooling shop",http://www.badassmolds.com,AMBA,3685 Prairie Lake Court,Aurora,IL,60504,(630) 978-4747,Medical and Dental Devices; Water Filtration and Plumbing; Caps & Closures and Packaging; Agriculture and Lighting,"Design and engineering using 3D solid models and databases; Manufacturing of unscrewing and multi-action tooling; Rapid prototyping with tool steel prototype molds; Short run molding; In-house tryouts; Low volume production runs; Repair, maintenance, and engineering changes; CNC","~30,000 ft² (zoominfo)",~50 (zoominfo),$11M (calc from sqft); ~$5M (public: ZI 2023),57,Privately held; founded in 1968.,Makino (5-axis); Yasda (3-axis); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,Yes,NI,,Ilin,Yes,,,
1 Source Design Ltd,CY,"High-end, private",http://1-sourcedesign.com/,AMBA,refer to site,refer to site,refer to site,refer to site,(519) 627-6034,Automotive; Industrial; Consumer Goods; Medical ,CAD Design; Die Cast Tools; Glass Encapsulation Molds; Plastic Injection Repairs/Engineering Changes/Preventive Maintenance/Replacement; Tool and die manufacturing,~30k ft² (public: ZI 2023),refer to site,"""$11M (calc from sqft); ~$5M (public: ZI 2023)""",46,Privately held; established in 1979.,Haas VF6/50 (CNC Mill) ×1,refer to site,NI,Yes,NI,,Canada,Yes,,,
Harris Precision Mold,CY,"High-end, medical-focused moldmaker",http://www.hpmold.com,AMBA,1705 West 4th Street,Tempe,AZ,85281,(480) 731-3135,"Medical, Pharmaceutical, Packaging","Class 101, CNC, Wire EDM",~30k ft² (zoominfo),refer to site,$11M (calc from sqft); ~$5M (public: ZI 2023),NI,Privately held; member of the American Mold Builders Association.,Makino (3-axis VMC); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,refer to site,Yes,NI,,No region,Yes,,,
M.R. Mold & Engineering Corp.,CY,"High-end, private moldmaker",http://www.mrmold.com,AMBA,1150 Beacon Street,Brea,CA,92821,(713) 614-5601,Medical; Automotive; Consumer products; Industrial,liquid silicone rubber; LSR; CNC,"23,000 ft² (site)",30 (site),"""$6M (calc from employees); ~$5M (public: ZI 2023)""",NI,"Privately held, possibly family-owned",Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; Injection Molding Tryout Presses; CMM / Metrology Systems,Yes,Yes,NI,NI,,No region,Yes,,,
"Prestige Mold, Inc.",CY,"High-end, precision tooling shop",http://www.prestigemold.com,AMBA,11040 Tacoma Drive,Rancho Cucamonga,CA,91730,(388) 768-3484,"Medical, Closures, Packaging",Design and engineering of precision injection molds; Manufacture and testing of injection molds; Implementation of automation and robotics in mold manufacturing; Turnkey system solutions for injection molding,~50k ft² (zoominfo),~100 (zoominfo),"""$12M (calc from employees); ~$20M (public: ZI 2023)""",NI,"Privately held, possibly family-owned",Makino; Yasda; Kern,refer to site,refer to site,NI,Yes,,No region,Yes,,,
Source One,CY,"High-end, precision tooling shop",http://www.source-one.net,AMBA,refer to site,refer to site,refer to site,refer to site,(176) 531-1060,Defense; Space; Aerospace; Medical; Commercial,Product design and development; Complete mold making and mold design; CNC machining and EDM machining; High precision grinding and electrode manufacturing,~30k ft² (zoominfo),~50 (zoominfo),"""$11M (calc from sqft); ~$5M (public: ZI 2023)""",NI,Privately held; details not specified.,CNC Mills (5-axis); EDM Machines,NI,Yes,NI,NI,,No region,Yes,,,
"Chicago Mold Engineering Company, Inc.",CY,"High-end, precision tooling shop",http://www.chicagomold.com,AMBA,615 Stetson Ave.,St. Charles,IL,60174,(630) 584-1311,Automotive; Appliances; Electronics; Plastics,"Engineering and mold design using advanced CAD software; Mold making including tooling, mold construction, and manufacturing; Machining services such as gundrilling, deep hole drilling, and 5-axis CNC machining; Inspection services featuring ATOS III non-contact white light scanning and CMM; Injection molding services including sampling, tool tryout, and short-run production molding; CNC; 5-axis CNC; Wire EDM; CMM","~50,000 ft² (zoominfo)",~80 (estimate),"""$16M (calc from employees); ~$10M (estimate)""",NI,Privately held; possible family-owned.,CNC Mills (5-axis); Wire EDM; CMM / Metrology Systems; Gun Drill,NI,Yes,Yes,Yes,,Ilin,NI,,,
Comet Die & Engraving Company,CY,"High-end, private moldmaker",http://www.cometdie.com,AMBA,909 North Larch Avenue,Elmhurst,Illinois,60126,(630) 833-5600,Automotive; Consumer products; Industrial applications; Packaging,plastics moldmaking; injection molds; comprehensive moldmaking services; New mold construction; mold repair; Texturing; contract machining; Gun drilling; mold revisions; In-house mold design; plastic injection moldmaking,"45,000 ft² (site)",Over 60 (site),$12M (calc from employees); ~$5M (public: ZI 2023),127,Privately held; family-owned; managed by T.J. and Michael Donlin,CNC and Electrical Discharge machines; Milling and Drilling equipment; Spotting Presses,refer to site,NI,Yes,Yes,,Ilin,NI,,,
Craftsman Tool & Mold Company,CY,"High-end, precision tooling shop",http://www.craftsmanmold.com,AMBA,2750 Church Road,Aurora,IL,60502,(630) 851-8700,Medical; Aerospace; Oil & Gas; Defense,Custom mold base manufacturing; High-precision gun drilling; CAD/CAM integration; Custom machining; CNC,~40k ft² (site),~50 (estimate),"""$10M (calc from employees); ~$10M (estimate)""",60,Privately held; family-owned,CNC Mills (3-axis); Gun Drill,Yes,NI,NI,Yes,,Ilin,Yes,,,
Creative Die Mold Corp.,CY,"High-end, precision tooling shop",http://www.creativediemold.com,AMBA,425 Windy Point Drive,Glendale Heights,IL,60139,(630) 790-9731,Automotive; Consumer Products; Electronics; Medical,"Plastic injection mold building and repair; Design and engineering services; In-house mold base, polishing, and final assembly; Precision tooling and cost-saving automation","26,000 ft² (site)",50+ (site),$10M (calc from employees); ~$5M (public: ZI 2023),47,Privately held; established in 1978.,Makino (3-axis VMC); Yasda (3-axis VMC); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,Yes,NI,,Ilin,Yes,,,
Electroform Company,CY,"High-end, private",http://www.injectionmoldmaking.com,AMBA,11070 Raleigh Ct.,Rockford,IL,61115,(815) 633-1113,"Packaging, Medical, Automotive, Consumer Products, Electrical/Electronics","Injection mold manufacturing, Product development and engineering, Automation solutions for plastics manufacturing, Research & Development in advanced molding technologies",~50k ft² (public: ZI 2023),50 (site),"""$10M (calc from employees); $30M (calc from sqft)""",36,Privately held; founded in 1988.,Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; Injection Molding Tryout Presses; CMM / Metrology Systems,Yes,Yes,NI,NI,,Ilin,Yes,,,
Foreman Tool & Mold,CY,"High-end, private moldmaker",http://www.foremantool.com,AMBA,3850 Swenson Ave,St. Charles,IL,60174,(630) 377-6389,Automotive (Decorative Interior and Functional Components); Industrial Components; High-tech applications,Custom injection mold building and design; Engineering and tooling services; Quality assurance and validation processes; Injection molding for high-tech applications,"63,000 ft² (site)",189 (calc from revenue_site),$37.8M (calc from sqft),41,Privately held; family-owned since 1984.,Makino (5-axis); Yasda (5-axis); CNC Mills (3-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,refer to site,NI,Yes,,Ilin,NI,,,
Helm Tool Company,CY,"High-end, precision tooling shop",http://www.helmtool.com,AMBA,1420 Wright Blvd,Schaumburg,IL,60193,(847) 364-0855,Automotive; Consumer products; Electronics; Industrial,Injection mold manufacturing and design; High-speed and 5-axis milling; Sinker and Wire EDM machining; Mold repair and refurbishment; Prototype and pre-production molding; 5-axis; Wire EDM; Sinker EDM,"92,000 ft² (site)",~50 (zoominfo),$10M (calc from employees); ~$10M (public: ZI 2023),48,Privately held; founded by Helmut Mueller in 1977; family-owned.,CNC Mills (5-axis); Wire EDM; Sinker EDM; Injection Molding Tryout Presses,NI,Yes,Yes,Yes,,Ilin,NI,,,
Industrial Molds,CY,"High-end, precision tooling shop",http://www.industrialmolds.com,AMBA,5175 27th Avenue,Rockford,IL,61109,(815) 397-2971,Automotive; Medical; Appliance; Electronics; Packaging,"Injection mold design and engineering; High-speed machining and precision tooling; Multi-shot and insert mold manufacturing; Repair and service of molds, including die cast and gas assist; Capability to handle large tools up to 1,500 tons; CNC; Wire EDM",~50k ft² (zoominfo),~100 (zoominfo),$12M (calc from employees); ~$10M (public: ZI 2023),57,Privately held; family-owned; third-generation leadership,CNC Mills (3-axis); Wire EDM; Injection Molding Tryout Presses; CMM / Metrology Systems,Yes,NI,Yes,Yes,,Ilin,Yes,,,
"M&M Tooling, Inc.",CY,"High-end, private moldmaker",http://www.mmtooling.com,AMBA,395 E. Potter,Wood Dale,IL,60191,(630) 595-8834,Plastics; Tooling; Manufacturing,Custom mold base manufacturing; CNC machining; Mazak CNC machining centers,"~30,000 ft² (zoominfo)","""~20 (zoominfo)""","""$12M (calc from employees); ~$2M (public: ZI 2023)""",19,Privately held; President Michael E. Mirante; Family-owned,Mazak CNC machining centers,refer to site,refer to site,NI,Yes,,Ilin,NI,,,
Mako Mold Corp,CY,"High-end, private moldmaker",http://www.makomold.com,AMBA,3820 Ohio Avenue - Unit 7,St. Charles,IL,60174,(630) 377-9010,"Consumer Products, Medical, Industrial, Electronics, Appliance, Agricultural","Injection mold manufacture and engineering, CNC machining services, Wire and sinker EDM services, Mold maintenance and refurbishment, CNC, Wire EDM, Sinker EDM","~30,000 ft² (zoominfo)",~50 (zoominfo),$10M (calc from employees); ~$5M (public: ZI 2023),56,Privately held; family-owned; founded in 1969.,CNC Mills (3-axis); Wire EDM; Sinker EDM,Yes,NI,Yes,Yes,,Ilin,Yes,,,
"Matrix Plastic Products, LLC",CY,"High-end, medical-focused moldmaker",http://www.matrixplastic.com,AMBA,949 A.E.C. Drive,Wood Dale,IL,60191,(630) 595-6144,Medical devices; Electronics; Personal care; High-performance industries,"Custom injection molding and moldmaking with a focus on surgical precision; Engineering and design for manufacturability (DFM) services; Advanced quality inspection with vision, touch probe, and laser technology; Assembly and production of micro-to-medium sized complex parts; ISO 13485",~30k ft² (site),130+ (site),$26M (calc from employees); ~$17.9M (public: ZoomInfo 2024),47,Privately held; family-owned; began as a family business in 1978.,Makino (5-axis); Yasda (5-axis); Sodick Wire EDM; Sodick Sinker EDM; Zeiss CMM,NI,refer to site,NI,Yes,,Ilin,Yes,,,
"Pelco Tool & Mold, Inc.",CY,"High-end, private moldmaker",http://www.pelcotoolinc.com,AMBA,181 Exchange Blvd.,Glendale Heights,IL,60139,(630) 871-1010,Food and Beverage; Medical; Industrial/Household; Personal Care,"Engineering and design of injection molds; Repairs, conversions, and preventive maintenance of molds; Production of prototypes, single face molds, and stack molds; Expertise in unscrewing molds, side action molds, and collapsible core molds","21,000 ft² (site)",35 (site),~$13M (site); $7M (calc from employees),62,"Privately held; owned by Dick Truhlar, Roger Wittersheim, and Rob Suva since 1991.",Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,Yes,refer to site,,Ilin,Yes,,,
"PM Mold Company, Inc.",CY,"High-end, private moldmaker",http://www.pmmold.com,AMBA,800 Estes Ave.,Schaumburg,IL,60193,(847) 923-5400,Automotive; Aerospace; Medical; Agricultural; Appliance; Military,Product development and design engineering; Custom mold making; Injection molding; Value-added services; Rapid prototyping,"43,000 ft² (site)",~50 (zoominfo),$10M (calc from employees); ~$10M (public: ZI 2023),62,Privately held; founded by Olav Bradley and Norbert Hauck; active in community and industry associations; family-owned.,Injection Molding Tryout Presses (28 to 500 tons),NI,NI,NI,Yes,,Ilin,Yes,,,
Sullivan Tool & Repair Inc.,CY,"High-end, medical-focused moldmaker",http://www.sullivantool.net,AMBA,370 Brook St.,Elgin,IL,60120,(254) 535-2419,Medical; Automotive; Safety Parts,custom injection molds; class 101 tooling; repairs; Micro laser welding; laser engraving,~30k ft² (zoominfo),refer to site,"""$12M (calc from employees); ~$2M (public: ZI 2023)""",23,Privately held; family-owned,Micro Laser Welding; Laser Engraving,NI,NI,Yes,Yes,,Ilin,Yes,,,
Tri-Par Die and Mold Corporation,CY,"High-end, private moldmaker",http://www.tri-par.com,AMBA,670 Sundown Rd,South Elgin,IL,60177,(630) 232-8800,"Automotive, Medical, Electronics, Water Purification, Consumer Products","Precision plastic injection molding, In-house precision tooling design, build, maintenance, and repair, Contract manufacturing, Expertise in complex part geometries, critical parting line matches, and precise shut-offs","58,000 ft² (site)",~50 (zoominfo),$12M (calc from employees); ~$10M (public: ZI 2023),65,Privately held; family-owned,Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,Yes,Yes,,Ilin,Yes,,,
B&D Manufacturing,CY,"High-end, private moldmaker",http://www.bdmfgmolds.com,AMBA,2100 E Carter St,Kokomo,IN,46901,(765) 452-2761,"Automotive, Electronics, Medical, Plumbing, Toys","Design and engineering of plastic molds, Prototype and multi-cavity tooling, Injection molding services, Mold repair and maintenance",~30k ft² (zoominfo),~40 (zoominfo),"""$8M (calc from employees); ~$5M (public: ZI 2023)""",58,Privately held; President Michael R. Green; Family-owned?,Makino (5-axis); Yasda (3-axis); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,"Yes, offers mold repair and maintenance.",Yes,,No region,Yes,,,
Decatur Mold Tool & Engineering,CY,"High-end, private moldmaker",http://www.decaturmold.com,AMBA,3330 North State Highway 7,North Vernon,IN,47265,(812) 346-5188,Automotive; Aerospace; Consumer products; Industrial,Production molds and prototype molds; Mold repair and engineering changes; Design and reverse engineering; Custom machining and sampling; Low volume molding and transportation services; CNC; EDM,~50k ft² (zoominfo),"""150 (calc from revenue_site)""","""$20M (calc from employees); $30M (calc from sqft); ~$10M (estimate)""",NI,Privately held; family-owned,CNC Machines; EDM; Injection Molding Machines; CMM / Metrology Systems,refer to site,NI,Yes,Yes,,No region,NI,,,
Lorentson Manufacturing Company Inc.,CY,"High-end, private moldmaker",http://www.lorentson.com,AMBA,1111 Rank Parkway,Kokomo,IN,46903-0932,(765) 452-4425,Automotive; Consumer products; Industrial applications,Tool and die manufacturing; In-house maintenance and repair of production tooling; Multi-shot molding capabilities,"~50,000 ft² (zoominfo)",~50 (estimate),~$20M (site); $10M (calc from employees); $30M (calc from sqft),76,Privately held; family-owned; woman-owned and operated,Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,Yes,Yes,,No region,NI,,,
"Roembke Mfg. & Design, Inc.",CY,"High-end, private moldmaker",http://www.roembke.com,AMBA,1580 Baker Drive,Ossian,IN,46777,(260) 622-4135,Medical; Automotive; Consumer products; Electronics,Liquid Silicone Rubber; LSR; Thermoplastic injection mold design; Two-component molding; Cold Deck Systems; Turnkey solutions,"62,000 ft² (site)",50+ (site),"""$10M (calc from employees); ~$10M (zoominfo)""",48,Privately held; family-owned; led by Greg Roembke.,Makino; Yasda; Kern,refer to site,refer to site,NI,Yes,,No region,Yes,,,
Southern Indiana Mold Corporation,CY,"High-end, private moldmaker",http://www.soindmoldcorp.com,AMBA,2945 N. St. Highway 3,North Vernon,IN,47265,(812) 346-2622,Plastics; Manufacturing,Plastic mold design and manufacturing; Mold finishing capabilities; Project quoting and consultation services; Continuous improvement and innovation in mold technology,~30k ft² (zoominfo),~50 (zoominfo),"""$11M (calc from sqft); ~$5M (public: ZI 2023)""",NI,Privately held,Makino (3-axis VMC); Yasda (5-axis VMC); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,NI,NI,,No region,NI,,,
ASH Industries,CY,"High-end, medical-focused moldmaker",http://www.ashindustries.com,AMBA,1330 W. Willow St.,Lafayette,LA,70506,(337) 358-8794,"Medical, Defense, Industrial, Electronics","Plastic injection molding, Metal injection molding, Liquid silicone rubber injection molding, In-house tooling, Design for manufacturing (DFM), Mold validation, CNC machining, Ultrasonic welding, Assembly, ISO 13485, Clean room",~50k ft² (zoominfo),115 (site),~$26M (site); $23M (calc from employees); $30M (calc from sqft),NI,Privately held; founded by an MIT graduate with a degree in Electrical Engineering-Hardware,CNC Mills (5-axis); EDM; Injection Molding Tryout Presses; CMM / Metrology Systems,NI,Yes,NI,NI,,No region,Yes,,,
